time,open,high,low,close,volume
2026-05-01 13:32:00+00:00,4628.755,4630.025,4628.505,4629.305,0
2026-05-01 13:33:00+00:00,4629.175,4631.995,4629.135,4631.335,0
2026-05-01 13:34:00+00:00,4631.325,4631.845,4629.485,4629.985,0
2026-05-01 13:35:00+00:00,4630.225,4630.515,4628.955,4630.115,0
2026-05-01 13:36:00+00:00,4630.135,4630.365,4628.525,4629.495,0
2026-05-01 13:37:00+00:00,4629.435,4629.605,4628.335,4629.035,0
2026-05-01 13:38:00+00:00,4629.035,4629.045,4627.865,4628.795,0
2026-05-01 13:39:00+00:00,4629.115,4630.635,4628.945,4630.615,0
2026-05-01 13:40:00+00:00,4630.585,4631.765,4630.235,4630.285,0
2026-05-01 13:41:00+00:00,4630.265,4630.475,4629.225,4629.245,0
2026-05-01 13:42:00+00:00,4629.265,4630.035,4628.325,4628.825,0
2026-05-01 13:43:00+00:00,4628.805,4628.915,4626.655,4627.495,0
2026-05-01 13:44:00+00:00,4627.585,4628.865,4627.365,4627.915,0
2026-05-01 13:45:00+00:00,4627.965,4629.435,4627.545,4629.045,0
2026-05-01 13:46:00+00:00,4629.015,4629.035,4627.255,4627.275,0
2026-05-01 13:47:00+00:00,4627.275,4628.475,4627.275,4627.795,0
2026-05-01 13:48:00+00:00,4627.795,4627.815,4627.085,4627.515,0
2026-05-01 13:49:00+00:00,4627.675,4628.285,4627.105,4627.135,0
2026-05-01 13:50:00+00:00,4627.165,4628.015,4627.095,4627.735,0
2026-05-01 13:51:00+00:00,4627.705,4628.075,4627.055,4627.705,0
2026-05-01 13:52:00+00:00,4627.595,4628.755,4627.555,4628.255,0
2026-05-01 13:53:00+00:00,4628.265,4634.765,4628.205,4630.985,0
2026-05-01 13:54:00+00:00,4630.945,4630.995,4629.775,4629.845,0
2026-05-01 13:55:00+00:00,4629.845,4631.175,4629.735,4630.775,0
2026-05-01 13:56:00+00:00,4630.775,4630.965,4629.925,4630.005,0
2026-05-01 13:57:00+00:00,4630.105,4630.315,4629.075,4629.605,0
2026-05-01 13:58:00+00:00,4629.605,4629.865,4628.685,4628.815,0
2026-05-01 13:59:00+00:00,4628.598,4629.655,4628.455,4629.195,0
2026-05-01 14:00:00+00:00,4629.245,4630.465,4629.045,4629.375,0
2026-05-01 14:01:00+00:00,4629.345,4629.455,4626.685,4626.855,0
2026-05-01 14:02:00+00:00,4626.935,4626.935,4623.155,4624.755,0
2026-05-01 14:03:00+00:00,4624.755,4625.265,4623.905,4624.205,0
2026-05-01 14:04:00+00:00,4624.195,4625.305,4623.805,4624.355,0
2026-05-01 14:05:00+00:00,4624.315,4624.315,4622.545,4623.915,0
2026-05-01 14:06:00+00:00,4623.905,4623.925,4622.255,4623.715,0
2026-05-01 14:07:00+00:00,4623.705,4625.125,4623.205,4624.495,0
2026-05-01 14:08:00+00:00,4624.525,4624.705,4622.985,4624.645,0
2026-05-01 14:09:00+00:00,4624.655,4625.485,4624.095,4624.185,0
2026-05-01 14:10:00+00:00,4624.215,4624.345,4621.935,4623.095,0
2026-05-01 14:11:00+00:00,4623.055,4623.055,4621.525,4621.665,0
2026-05-01 14:12:00+00:00,4621.675,4621.725,4620.345,4620.465,0
2026-05-01 14:13:00+00:00,4620.345,4620.565,4617.095,4617.715,0
2026-05-01 14:14:00+00:00,4617.625,4617.655,4615.445,4615.615,0
2026-05-01 14:15:00+00:00,4615.625,4618.505,4615.305,4617.175,0
2026-05-01 14:16:00+00:00,4617.175,4617.315,4613.785,4614.055,0
2026-05-01 14:17:00+00:00,4614.045,4616.755,4613.535,4616.635,0
2026-05-01 14:18:00+00:00,4616.635,4617.205,4615.575,4617.035,0
2026-05-01 14:19:00+00:00,4617.005,4618.875,4617.005,4618.455,0
2026-05-01 14:20:00+00:00,4618.435,4619.505,4618.435,4619.465,0
2026-05-01 14:21:00+00:00,4619.475,4620.055,4619.075,4619.265,0
2026-05-01 14:22:00+00:00,4619.265,4620.835,4619.225,4619.695,0
2026-05-01 14:23:00+00:00,4619.675,4621.995,4619.565,4620.995,0
2026-05-01 14:24:00+00:00,4620.975,4622.345,4620.975,4622.145,0
2026-05-01 14:25:00+00:00,4622.155,4622.325,4620.395,4621.085,0
2026-05-01 14:26:00+00:00,4621.085,4621.445,4620.205,4620.205,0
2026-05-01 14:27:00+00:00,4620.245,4620.895,4619.705,4620.285,0
2026-05-01 14:28:00+00:00,4620.155,4621.585,4619.545,4621.215,0
2026-05-01 14:29:00+00:00,4621.195,4623.485,4618.755,4623.035,0
2026-05-01 14:30:00+00:00,4622.875,4624.185,4620.575,4620.725,0
2026-05-01 14:31:00+00:00,4620.665,4622.225,4620.395,4620.725,0
2026-05-01 14:32:00+00:00,4620.745,4620.815,4619.635,4620.685,0
2026-05-01 14:33:00+00:00,4620.705,4620.755,4618.665,4619.585,0
2026-05-01 14:34:00+00:00,4619.545,4619.675,4617.365,4617.365,0
2026-05-01 14:35:00+00:00,4617.375,4618.225,4616.765,4618.215,0
2026-05-01 14:36:00+00:00,4618.135,4618.645,4617.065,4617.535,0
2026-05-01 14:37:00+00:00,4617.625,4617.775,4616.185,4616.225,0
2026-05-01 14:38:00+00:00,4616.215,4617.375,4616.035,4616.555,0
2026-05-01 14:39:00+00:00,4616.505,4617.885,4616.475,4617.425,0
2026-05-01 14:40:00+00:00,4617.445,4618.195,4617.085,4617.885,0
2026-05-01 14:41:00+00:00,4617.925,4622.035,4617.775,4621.935,0
